KeyMineProject,Property Name,Primary Commodity,Commodity Group,List of Owners,List of Royalty Holders,Development Stage,Activity Status,Latitude (degrees),Longitude (degrees),Coordinate Accuracy
26393,Peak Hill,Gold,Precious Metals,Alkane Resources Limited (Owner) 100%,Molopo Australia Ltd. (Royalty),Reserves Development,Inactive,-32.720060,148.195920,Exact
26394,G-South,Gold,Precious Metals,NA,NA,Reserves Development,Inactive,53.198060,-122.355280,Exact
26395,Minnehaha Creek,Gold,Precious Metals,Claim Owners (Owner); Sahara Gold Inc (Owner),NA,Target Outline,Inactive,34.197220,-112.458330,Exact
26396,Mystery Mint,Gold,Precious Metals,NA,NA,Closed,Inactive,-30.766670,121.483330,Approximate
26397,Wood Gulch,Gold,Precious Metals,NA,"Claim Owners (NSR) 6%; Royal Gold, Inc. (NSR) 5%",Exploration,Inactive,41.679170,-115.965560,Exact
26398,Snare Creek,Gold,Precious Metals,Horizon Resources Corp (Owner) 50%; Sterling Silver Ltd Partnership (Owner) 50%,NA,Exploration,Inactive,37.875560,-107.517220,Approximate
26399,East Walker,Gold,Precious Metals,Alianza Minerals Ltd. (Owner) 100%,Sandstorm Gold Ltd. (NSR) 1%; Newmont Mining Corporation (NSR),Target Outline,Active,38.576010,-119.036210,Best Guess
26400,New York,Gold,Precious Metals,Horizon Resources Corp (Owner),NA,Target Outline,Inactive,47.144170,-109.227220,Approximate
26401,Labouchere,Gold,Precious Metals,NA,NA,Closed,Inactive,-25.266110,118.270000,Exact
26402,Olympic,Gold,Precious Metals,NA,NA,Exploration,Inactive,45.367780,-113.099170,Exact
26403,Empire Creek,Gold,Precious Metals,Adamera Minerals Corp. (Optionee) 100%; Unnamed Owner (Optionor),Unnamed Owner (NSR),Exploration,Active,48.816780,-118.701480,Exact
26405,Bagdad,Gold,Precious Metals,NA,NA,Target Outline,Inactive,46.451670,-113.846580,Approximate
26406,North Star,Gold,Precious Metals,Mariner Explorations Inc (Owner),NA,Exploration,Inactive,43.653490,-114.268110,Best Guess
26407,Kennedy,Gold,Precious Metals,Sumac Ventures Inc (Owner) 100%,NA,Exploration,Inactive,40.283330,-117.755560,Approximate
26408,Scout,Gold,Precious Metals,Cominco American Resources Inc (Optionor) 50%; Ivory Oils and Minerals Inc (Optionee) 50%,NA,Target Outline,Inactive,48.873060,-116.055830,Exact
26411,Gold Creek,Gold,Precious Metals,NA,NA,Target Outline,Inactive,46.464170,-113.056940,Exact
26412,Fri-Titan,Gold,Precious Metals,Mountainstar Gold Inc. (Owner),NA,Target Outline,Inactive,38.300000,-117.816670,Approximate
26413,Battle Cry,Gold,Precious Metals,NA,NA,Exploration,Inactive,40.646110,-117.174170,Approximate
26414,Indian Ranch,Gold,Precious Metals,Barrick Gold Corporation (Optionee) 75%; US Gold Canadian Acquisition Corporation (Optionor) 18.75%; Anfield Gold Corp. (Optionor) 6.25%,Private Interest (NSR) 6%,Target Outline,Inactive,39.757500,-116.368550,Approximate
26415,North Lake,Gold,Precious Metals,Golden Band Resources Inc. (Optionor) 50%; Masuparia Gold Corporation (Optionee) 50%; Private Interest (Optionor),Claim Owners (NSR) 1%,Reserves Development,Inactive,55.494170,-104.850560,Exact
26416,Geraldton,Gold,Precious Metals,Centerra Gold Inc. (Venturer) 50%; Premier Gold Mines Limited (Venturer) 50%,ESSAR Steel Algoma Inc (NSR) 5%; Franco-Nevada Corporation (NSR) 3%,Reserves Development,Active,49.711260,-86.991790,Exact
26417,South Monitor,Gold,Precious Metals,Golconda Resources Ltd. (Owner) 100%,NA,Reserves Development,Inactive,37.916670,-117.018280,Approximate
26418,Dolly,Gold,Precious Metals,Tap Resource Management Ltd (Optionee) 100%; Cominco American Inc (Optionor),NA,Exploration,Inactive,47.126110,-115.254720,Approximate
26419,Telfer,Gold,Precious Metals,Newcrest Mining Limited (Owner) 100%,Franco-Nevada Corporation (NSR) 1%; Cape Lambert Resources Limited (NSR); Mineral Commodities Limited (NSR); Mount Isa Mines Limited (NSR),Operating,Active,-21.723060,122.220000,Exact
26420,Longos,Gold,Precious Metals,United Paragon Mining Corporation (Owner) 100%,NA,Operating,Care And Maintenance,14.277220,122.795000,Exact
26421,Mt Leyshon,Gold,Precious Metals,Newmont Mining Corporation (Owner) 100%,NA,Reserves Development,Rehabilitation,-20.290830,146.271940,Exact
26422,Edna May,Gold,Precious Metals,Evolution Mining Limited (Owner) 100%,"Royal Gold, Inc. (Royalty) 0.5%; Franco-Nevada Corporation (GR)",Operating,Active,-31.290560,118.700000,Exact
26423,Zenda,Gold,Precious Metals,NA,Lexam VG Gold Inc. (NSR) 3%,Reserves Development,Inactive,35.366670,-118.450000,Approximate
26424,Lincoln,Gold,Precious Metals,Union Eagle Resources Inc (Optionee) 100%,Western Centennials Inc (NPI) 1%,Exploration,Inactive,43.833610,-116.334720,Exact
26425,Goldbelt,Gold,Precious Metals,Goldrich Resources Inc (Owner) 100%,NA,Target Outline,Inactive,49.317360,-117.140930,Approximate
26426,Puiseaux Orvilliers,Gold,Precious Metals,NA,G J Hinse Geological Services Ltd (NSR) 2%,Target Outline,Inactive,49.574990,-78.883090,Approximate
26427,Darlot,Gold,Precious Metals,Gold Fields Limited (Owner) 100%,NA,Satellite,Active,-27.893610,121.271390,Exact
26428,Barexor Property,Gold,Precious Metals,NA,NA,Exploration,Inactive,48.465280,-77.720000,Exact
26430,Cranberry Lakes,Gold,Precious Metals,Novagold Resources Inc. (Optionee) 100%,NA,Target Outline,Inactive,45.179170,-62.017500,Exact
26433,Goldstack,Gold,Precious Metals,Noise Media Inc (Venturer) 50%; Aumine Exploration (Owner) 25%; Sullivan Mines Inc (Venturer) 25%,NA,Exploration,Inactive,48.076940,-77.819440,Exact
26434,Baker Lake,Gold,Precious Metals,Tanqueray Exploration Ltd. (Owner) 100%,NA,Exploration,Inactive,64.590970,-96.521530,Exact
26435,Lady Bountiful Extended,Gold,Precious Metals,NA,NA,Operating,Inactive,-30.498890,121.216110,Exact
26437,Kanowna West,Gold,Precious Metals,Barrick Gold Corporation (Optionee) 60%; Zhongjin Lingnan Mining (HK) Company Limited (Owner) 30.53%; Coal of Africa Limited (Owner) 9.47%,NA,Target Outline,Active,-30.588000,121.537000,Exact
26438,Red October,Gold,Precious Metals,Saracen Mineral Holdings Limited (Owner) 100%,"Royal Gold, Inc. (NSR) 1.5%; Franco-Nevada Corporation (NSR); Mount Burgess Mining N.L. (Royalty)",Satellite,Active,-29.216670,122.415000,Exact
26439,Nichol Spring,Gold,Precious Metals,NA,NA,Exploration,Inactive,40.914100,-116.153120,Best Guess
26440,Southern Cross,Gold,Precious Metals,China Hanking Holdings Limited (Owner) 100%,"3D Resources Limited (NPI); Royal Gold, Inc. (NSR); St Barbara Limited (Royalty)",Operating,Active,-31.463060,119.493060,Exact
26441,Yellowknife,Gold,Precious Metals,NA,NA,Exploration,Inactive,63.061940,-110.928060,Exact
26443,Twin,Gold,Precious Metals,Digital Ventures Inc (Owner) 100%,NA,Exploration,Inactive,51.147780,-119.821560,Exact
26444,Chariot,Gold,Precious Metals,Emmerson Resources Limited (Owner) 100%,Franco-Nevada Corporation (Royalty),Reserves Development,Active,-19.654070,134.095710,Exact
26445,Hillsborough,Gold,Precious Metals,Anglo-Canadian Mining Corporation (Optionor) 70%; Cassidy Resources Ltd (Optionor) 29.9%; Parklane Technologies Inc (Optionee),NA,Exploration,Inactive,49.795280,-87.836390,Exact
26446,Cement Hill,Gold,Precious Metals,Unnamed Owner (Owner),NA,Operating,Inactive,-22.633330,147.633330,Approximate
26447,Summit,Gold,Precious Metals,Focus Minerals Limited (Owner) 100%,BHP Billiton Group (Royalty),Satellite,NA,-28.560000,122.385000,Exact
26449,Goodall,Gold,Precious Metals,BHP Billiton Group (Venturer) 60%; W. R. Grace and Company (Venturer) 40%,NA,Closed,Inactive,-13.211300,131.373100,Exact
26450,Charters Towers,Gold,Precious Metals,Citigold Corporation Limited (Owner) 100%,NA,Expansion,Care And Maintenance,-20.113980,146.285430,Exact
26451,Duketon Northern Operations,Gold,Precious Metals,Regis Resources Limited (Owner) 100%,Franco-Nevada Corporation (NSR) 2%; Private Individual (GR),Operating,Active,-27.611200,122.347900,Exact
26452,Horn Island,Gold,Precious Metals,Alice Queen Limited (Owner) 97.6%; Alice Queen Holding Pty Ltd. (Optionor),NA,Target Outline,Active,-10.612500,142.316670,Exact
26453,Hogkinson Goldfield,Gold,Precious Metals,NA,NA,Feasibility,Inactive,-16.924190,145.030030,Exact
26454,Tyrconnel,Gold,Precious Metals,NA,NA,Closed,Inactive,-16.950000,145.000000,Approximate
26455,Sandhurst Tailings,Gold,Precious Metals,Brunswick NL (Venturer) 50%; Sandhurst Mining NL (Venturer) 38%; Kinex Pty Ltd (Venturer) 12%,NA,Preproduction,Inactive,-36.750000,144.266940,Approximate
26456,La Choya,Gold,Precious Metals,NA,Hec Hitech Entertainment (Royalty),Closed,Inactive,31.533060,-112.677680,Approximate
26457,Kookynie,Gold,Precious Metals,A & C Mining Investments Pty Ltd (Owner) 100%,Coal of Africa Limited (Royalty); OJSC MMC Norilsk Nickel (Royalty),Reserves Development,Active,-29.336940,121.496110,Exact
26458,Lakewood Tailings,Gold,Precious Metals,NA,NA,Reserves Development,Inactive,-30.677500,121.530160,Approximate
26459,Far Southeast,Gold,Precious Metals,Gold Fields Limited (Optionee) 60%; Lepanto Consolidated Mining Company (Optionor) 40%,NA,Prefeas/Scoping,Active,16.850230,120.804840,Exact
26460,Warrego Tailings,Gold,Precious Metals,NA,NA,Closed,Inactive,-19.448060,133.823890,Exact
26461,Comet,Gold,Precious Metals,Westgold Resources Limited (Owner) 100%,NA,Satellite,Care And Maintenance,-27.542340,118.042770,Exact
26462,Riviera,Gold,Precious Metals,Western Coal Corp. (Owner) 100%,NA,Feasibility,Inactive,-15.880000,143.467220,Exact
26463,Kettle River-Buckhorn,Gold,Precious Metals,Kinross Gold Corporation (Owner) 100%,NA,Operating,Active,48.950000,-118.981000,Exact
26464,Norseman,Gold,Precious Metals,Norseman Gold Plc (Owner) 100%,NA,Limited Production,Active,-32.200560,121.801110,Exact
26466,Estelle,Gold,Precious Metals,NA,International Tower Hill Mines Ltd. (NSR) 1%; Altius Minerals Corporation (NSR),Exploration,Inactive,61.905990,-152.981410,Exact
26467,Cowarra,Gold,Precious Metals,Gold Mountain Limited (Optionee) 100%; Capital Mining Limited (Optionor),NA,Reserves Development,Active,-36.011110,149.298060,Exact
26468,Sandy Creek,Gold,Precious Metals,NA,NA,Operating,Inactive,-13.541120,131.528140,Approximate
26469,Merriland,Gold,Precious Metals,Golden Pyramid Resources (Venturer); Timbarra Gold Mines Pty Ltd (Venturer),NA,Reserves Development,Inactive,-20.328440,146.289740,Exact
26471,Copperhead Mullock Dump,Gold,Precious Metals,Sons of Gwalia Ltd (Venturer) 50%,NA,Feasibility,Inactive,-30.976940,119.126110,Exact
26472,Trouser Legs,Gold,Precious Metals,Hawthorn Resources Limited (Venturer) 70%; Gel Resources (Venturer) 30%,NA,Reserves Development,Active,-30.076960,122.731380,Exact
26473,Laverton,Gold,Precious Metals,Focus Minerals Limited (Owner) 100%; Gold Fields Limited (Fractional); Rarus Limited (Fractional); Strategic Minerals Plc (Fractional),Franco-Nevada Corporation (Royalty); Private Interest (Sliding),Reserves Development,Active,-28.626740,122.494400,Exact
26474,Blackburn,Gold,Precious Metals,Great Southern Resources Pty (Owner) 100%,Centaurus Metals Limited (Royalty) 2%; Marenica Energy Limited (NSR) 1.13%,Reserves Development,Inactive,-33.573890,117.916940,Exact
26475,Mt Freda,Gold,Precious Metals,Ausmex Mining Pty Limited (Optionee) 60%; Queensland Mining Corporation Limited (Optionor) 40%,NA,Reserves Development,Active,-20.979370,140.738410,Exact
26476,Lobo-Marte,Gold,Precious Metals,Kinross Gold Corporation (Owner) 100%,Sandstorm Gold Ltd. (NSR),Prefeas/Scoping,Temporarily On Hold,-27.230000,-69.033000,Exact
26478,Lega Dembi,Gold,Precious Metals,MIDROC Gold Mine Pvt. Ltd. Co. (Owner) 98%; Ethiopian Mineral Resources Development Corp (Carried) 2%,NA,Operating,NA,5.713610,38.892220,Exact
26479,Elvington,Gold,Precious Metals,Republic of Zimbabwe (Owner) 100%,NA,Operating,Care And Maintenance,-18.293840,30.213570,Exact
26480,Cononish,Gold,Precious Metals,Scotgold Resources Limited (Owner) 100%,Crown Estate Commissioners (Northern Ireland) (Royalty) 4%,Feasibility Complete,Active,56.418920,-4.767920,Exact
26481,Navachab,Gold,Precious Metals,QKR Corporation Limited (Venturer) 92.5%; Government of the Republic of Namibia (Venturer) 7.5%,NA,Operating,Active,-21.982780,15.764720,Exact
26482,Kurara,Gold,Precious Metals,NA,NA,Reserves Development,Inactive,-27.043890,118.292220,Exact
26484,Hidden Treasure,Gold,Precious Metals,Trigen Resources Inc. (Owner) 100%,NA,Target Outline,Inactive,37.698890,-117.205830,Exact
26485,Oryx,Gold,Precious Metals,Sibanye Gold Limited (Owner) 100%,NA,Satellite,Active,-28.186320,26.722370,Exact
26486,Choquelimpie,Gold,Precious Metals,Compañía Minera Can Can S.A. (Owner) 100%,NA,Reserves Development,Active,-18.308890,-69.259720,Exact
26487,Al-Amar,Gold,Precious Metals,Saudi Arabian Mining Company (Owner) 100%,NA,Operating,Active,23.766670,45.066670,Exact
26488,Golden Valley,Gold,Precious Metals,Placer Dome Inc (Barrick Gold) (Venturer) 100%,NA,Closed,Inactive,-30.603780,121.567190,Exact
26489,Barbrook,Gold,Precious Metals,Vantage Goldfields Limited (Venturer) 74%; Black Economic Empowerment (Venturer) 26%,NA,Operating,Active,-25.723190,31.278080,Exact
26491,Monterado Placer,Gold,Precious Metals,Advocate Resources (Venturer) 65%; PT Punak Cyclop Minerals (Venturer) 20%; PT Prima Searco (Venturer) 15%; PT Monterado Mas Mining (Venture),NA,Closed,Inactive,-0.155280,110.501760,Best Guess
26492,Kaltails,Gold,Precious Metals,Newmont Mining Corporation (Owner) 100%; Kaltails Mining Services Pty Ltd (Venture),NA,Closed,Inactive,-30.808060,121.553890,Exact
26494,Osa,Gold,Precious Metals,NA,NA,Operating,Inactive,8.557810,-83.496930,Approximate
26496,Browns Creek,Gold,Precious Metals,Aeris Resources Limited (Owner) 100%,Franco-Nevada Corporation (NSR) 2.25%,Reserves Development,Inactive,-33.526510,149.156850,Exact
26497,Prince of Wales,Gold,Precious Metals,Centaurus Metals Limited (Venturer) 50%; Western Uranium Corporation (Venturer) 50%,NA,Closed,Inactive,-30.451460,121.130900,Approximate
26498,Argo,Gold,Precious Metals,Emmerson Resources Limited (Owner) 100%,Grange Resources Limited (Royalty),Target Outline,Active,-19.670550,134.211790,Exact
26499,Ballarat,Gold,Precious Metals,LionGold Corp. Limited (Owner) 100%,Newcrest Mining Limited (NSR) 2.5%,Operating,Active,-37.590280,143.858330,Exact
26500,Kanowna Belle,Gold,Precious Metals,Northern Star Resources Limited (Owner) 100%,Grange Resources Limited (Royalty) 4%; Dioro Exploration NL (Royalty); Oxford Credits Corporation Pty Ltd (Royalty),Operating,Active,-30.611000,121.578000,Exact
26501,Wirralie,Gold,Precious Metals,NA,NA,Reserves Development,Inactive,-21.120000,147.270000,Exact
26502,Coleman,Gold,Precious Metals,NA,NA,Exploration,Inactive,61.777220,-149.420560,Approximate
26503,Horsefly Terrier,Gold,Precious Metals,NA,Golden North Resource Corp (NPI) 20%,Target Outline,Inactive,49.351130,-120.028900,Exact
26504,Moline,Gold,Precious Metals,PNX Metals Limited (Optionee) 90%; Kirkland Lake Gold Ltd. (Optionor) 10%,NA,Target Outline,Active,-13.669960,132.158660,Exact
26505,Antelope Creek,Gold,Precious Metals,Winters Co (Owner) 100%,NA,Exploration,Inactive,41.150000,-116.933330,Approximate
26506,Chicago,Gold,Precious Metals,NA,NA,Exploration,Inactive,40.926390,-116.327220,Approximate
26507,Ivanhoe Emporia,Gold,Precious Metals,St Cloud Mining Co (Owner) 100%,Claim Owners (NSR),Feasibility,Inactive,33.450000,-107.766670,Approximate
26508,Lill Project,Gold,Precious Metals,Green Lake Resources (Owner),NA,Target Outline,Inactive,50.283330,-122.608330,Exact
26509,Urbana Property,Gold,Precious Metals,Caldwell Financial Ltd. (Owner) 50.21%,NA,Exploration,Inactive,49.021670,-75.739210,Exact
26512,Coyote Springs,Gold,Precious Metals,Unnamed Owner (Owner) 100%,Private Interest (NSR),Exploration,Inactive,38.064220,-117.189090,Approximate
26513,Mouska,Gold,Precious Metals,IAMGOLD Corporation (Owner) 100%,Franco-Nevada Corporation (Royalty); Private Interest (Royalty),Closed,Inactive,48.283060,-78.566670,Exact
26514,Bogoso-Prestea,Gold,Precious Metals,Golden Star Resources Limited (Owner) 90%; Government of Ghana (Carried) 10%,"Royal Gold, Inc. (Streaming)",Operating,Active,5.527510,-2.066040,Exact
26515,Bardoc,Gold,Precious Metals,NA,NA,Target Outline,Inactive,-30.338890,121.286110,Exact
26516,Tasmania,Gold,Precious Metals,BCD Resources NL (Owner) 100%,NA,Closed,Rehabilitation,-41.198060,146.802220,Exact
26518,El Limon,Gold,Precious Metals,Para Resources Inc. (Venturer) 75%; Unnamed Owner (Venturer) 25%,Claim Owners (NPI) 10%; Local Interest (NSR) 10%; Red Rock Resources Plc (NSR),Operating,Active,7.443890,-74.865980,Exact
26519,Fifteen Mile Stream,Gold,Precious Metals,NA,NA,Target Outline,Inactive,45.139170,-62.527780,Exact
26520,Summit,Gold,Precious Metals,"Waterton Global Resource Management, Inc. (Owner) 100%",Summit Minerals Inc (NSR) 5%; Private Interest (Royalty) 1%; Sandstorm Gold Ltd. (Streaming); Summit Minerals Inc (NPR),Prefeas/Scoping,Active,32.875980,-108.973770,Exact
26521,Preston East Dome,Gold,Precious Metals,Private Interest (Owner) 100%,NA,Target Outline,Inactive,48.455280,-81.239170,Exact
26522,Sandy Valley,Gold,Precious Metals,NA,NA,Target Outline,Inactive,35.850000,-115.466670,Approximate
26524,Dubuisson Township,Gold,Precious Metals,Acquisitor Mines Ltd (Venturer) 50%; Stabell Resources Inc (Venturer) 50%,NA,Reserves Development,Inactive,48.100000,-77.800000,Approximate
26526,Red Mountain,Gold,Precious Metals,NA,NA,NA,Inactive,48.994790,-121.632630,Approximate
26527,West Picacho,Gold,Precious Metals,Golden Eagle Mining Co Inc (Owner) 100%,NA,Exploration,Inactive,32.560830,-113.500560,Approximate
26528,Clover,Gold,Precious Metals,"Waterton Global Resource Management, Inc. (Owner) 100%",Unnamed Owner (NSR) 3%,Exploration,Active,41.393120,-117.169010,Approximate
26529,Ida,Gold,Precious Metals,NA,Sundance Mining-Development Inc (NSR) 5%,Target Outline,Inactive,48.863800,-118.909900,Exact
26531,Boss,Gold,Precious Metals,Claim Owners (Owner) 100%,Cyclone Uranium Corporation (NSR); Platoro West Incorporated (PTR),Reserves Development,Inactive,38.074720,-117.632220,Exact
26532,Fork Lakes,Gold,Precious Metals,Wescan Goldfields Inc. (Owner) 100%,Claim Owners (NSR),Target Outline,Inactive,55.942780,-104.271110,Exact
26533,Crown Gold Recoveries,Gold,Precious Metals,DRDGold Limited (Owner) 100%,NA,Satellite,Active,-26.226490,27.970850,Exact
26534,O'Brien,Gold,Precious Metals,Radisson Mining Resources Inc. (Owner) 100%,KWG Resources Inc. (NSR),Prefeas/Scoping,Active,48.235735,-78.399512,Exact
26535,Toburn-Kirkland,Gold,Precious Metals,Toburn Gold Mines Ltd (Owner) 100%,NA,Target Outline,Inactive,48.157020,-80.018190,Exact
26536,Dubenski,Gold,Precious Metals,First Mining Finance Corp. (Owner) 100%,Frontier Lithium Inc. (NSR) 2.5%; Private Ontario Company (NSR) 2.5%; 525400 Ontario Inc. (Royalty); Chalice Gold Mines Limited (NSR),Reserves Development,Active,49.328060,-93.847500,Exact
26537,Scramble,Gold,Precious Metals,Scramble Mining (Owner) 100%,NA,Reserves Development,Inactive,49.785830,-94.374440,Approximate
26538,Imperial 1-25,Gold,Precious Metals,NA,NA,Target Outline,Inactive,37.550280,-117.510560,Approximate
26539,Cabacal,Gold,Precious Metals,Vale S.A. (Venturer) 51%; Rio Tinto (Venturer) 49%,NA,Closed,Inactive,-15.250280,-58.188060,Exact
26540,Diamond Silverado,Gold,Precious Metals,NA,NA,Target Outline,Inactive,39.508160,-115.795970,Approximate
26541,Fontana,Gold,Precious Metals,Tres-Or Resources Limited (Optionee) 100%; Globex Mining Enterprises Inc. (Optionor),NA,Reserves Development,Active,48.646390,-77.919440,Exact
26542,Electrum,Gold,Precious Metals,NA,NA,Target Outline,Inactive,50.162500,-127.391670,Exact
26545,Allred,Gold,Precious Metals,Carolina Gold Resources Inc (Owner),NA,Exploration,Inactive,35.803600,-79.682380,Approximate
26546,Corinthia,Gold,Precious Metals,NA,NA,Reserves Development,Inactive,-31.355560,119.436110,Exact
26548,Gebeit,Gold,Precious Metals,NA,NA,Reserves Development,Inactive,21.066460,36.317990,Exact
26549,Barry United,Gold,Precious Metals,Metanor Resources Inc. (Owner) 100%,"Private Company (NSR) 2%; Cliffs Natural Resources, Inc. (NSR) 0.5%; Franco-Nevada Corporation (NSR) 0.5%; Sandstorm Gold Ltd. (NSR)",Prefeas/Scoping,Active,48.985380,-75.770250,Exact
26550,Mt Victor,Gold,Precious Metals,NA,Niugini Mining Australia Pty Ltd (NSR) 5%,Target Outline,Inactive,-6.215000,145.706460,Approximate
26551,Filon Sur,Gold,Precious Metals,Oak Consortium (Owner) 100%,NA,Closed,Inactive,37.585280,-7.114440,Exact
26552,Cempaga Buang,Gold,Precious Metals,Jason Kasongan Pty Ltd (Venturer) 42.5%; Pelsart Resources NL (Venturer) 42.5%; PT Wisma Budi Kerti (Venturer) 15%; PT Amphalit Mas Perdana (Venture),NA,Closed,Inactive,-2.201670,113.208060,Approximate
26553,Hishikari,Gold,Precious Metals,Sumitomo Metal Mining Company Limited (Owner) 100%,NA,Operating,Active,32.012500,130.693060,Exact
26554,Rio Chiquito,Gold,Precious Metals,NA,Ministry Of Energy And Mines - Costa Rica (NSR) 2%; Mallon Resources Corporation (NSR) 1%,Reserves Development,Inactive,10.438560,-84.868000,Approximate
26555,Cowboy,Gold,Precious Metals,Individual (Optionor) 100%,NA,Target Outline,Inactive,34.555560,-113.178330,Exact
26557,North Sleeper,Gold,Precious Metals,Matco Investments Ltd (Optionee) 65%; Aurelio Resource Corp. (Owner) 35%; C3 Resources Inc (Venture),NA,Exploration,Inactive,41.366670,-118.050000,Approximate
26558,Black Warrior,Gold,Precious Metals,Easynet Data Corp (Owner) 25%; Luxor Ltd (Owner) 25%; Ventech Healthcare Inc (Owner) 25%; Wydmar Development Corp (Owner) 25%,Individual (Royalty),Exploration,Inactive,37.826110,-117.673330,Exact
26559,Lefa,Gold,Precious Metals,Nord Gold SE (Owner) 100%,NA,Operating,Active,11.741000,-10.102000,Exact
26561,Hidden Valley,Gold,Precious Metals,Harmony Gold Mining Company Limited (Owner) 100%,NA,Operating,Active,-7.466670,146.554166,Exact
26562,Kelian,Gold,Precious Metals,Rio Tinto (Venturer) 90%; PT Harita Jayaraya (Venturer) 10%; PT Kelian Equatorial Mining (Venture),NA,Closed,Inactive,-0.039990,115.428410,Exact
26563,Gilded Rose,Gold,Precious Metals,Queensland Mining Corporation Limited (Owner) 100%,NA,Closed,Inactive,-20.775900,140.620610,Exact
26567,Sultepec,Gold,Precious Metals,Industrias Peñoles SAB de CV (Owner) 100%,NA,Closed,Inactive,18.850530,-99.982450,Exact
26569,Amelia,Gold,Precious Metals,Natasa Mining Limited (Owner) 100%,NA,Target Outline,Inactive,30.428330,-110.952220,Approximate
26570,Aldiss-Randalls,Gold,Precious Metals,Silver Lake Resources Limited (Owner) 100%,Moto Goldmines Limited (NSR) 0.75%; Franco-Nevada Corporation (PTR),Operating,Active,-31.035560,122.560000,Exact
26571,La Coipa,Gold,Precious Metals,Kinross Gold Corporation (Owner) 100%,Franco-Nevada Corporation (NSR) 3%,Prefeas/Scoping,Active,-26.825280,-69.262780,Exact
26572,Sinivit,Gold,Precious Metals,New Guinea Gold Corporation (Venturer) 90%; Gold Mines of Niugini Holdings Pty Ltd (Venturer) 10%,Alcyone Resources Limited (NSR) 1%,Closed,Under Litigation,-4.642070,152.048990,Exact
26578,Grey River Placer,Gold,Precious Metals,Birchfield Minerals Ltd (Owner) 100%,NA,Preproduction,Inactive,-42.397320,171.413050,Exact
26579,Rainbow Ridge,Gold,Precious Metals,Nevada Resources Inc (Owner) 100%,NA,Exploration,Inactive,41.306670,-122.363610,Exact
26580,St Helena,Gold,Precious Metals,Harmony Gold Mining Company Limited (Owner) 100%,Gold Fields Limited (Royalty),Satellite,Active,-28.019000,26.712000,Exact
26581,Kloof Consolidated,Gold,Precious Metals,Sibanye Gold Limited (Owner) 100%,NA,Operating,Active,-26.370680,27.449950,Exact
26582,Bottle Creek,Gold,Precious Metals,NA,NA,Closed,Inactive,-29.178060,120.453890,Exact
26583,Grandeur,Gold,Precious Metals,NA,NA,NA,Inactive,-18.483330,29.750000,Approximate
26585,Loulo,Gold,Precious Metals,Randgold Resources Limited (Owner) 80%; Republic of Mali (Venturer) 20%,NA,Operating,Active,13.083330,-11.416670,Exact
26586,Shagawa,Gold,Precious Metals,Coca Mines Inc (Venturer) 65%; Tamarack Partnership (Venturer) 35%,NA,Exploration,Inactive,47.911670,-91.917500,Exact
26587,Golden Mile,Gold,Precious Metals,Easynet Data Corp (Owner); First City Gold (Owner); Luxor Ltd (Owner); Wydmar Development Corp (Owner),NA,Target Outline,Inactive,38.523330,-117.841940,Exact
26588,Vlakfontein,Gold,Precious Metals,NA,NA,Closed,Inactive,-26.350000,28.383330,Exact
26589,Rooipoort,Gold,Precious Metals,NA,NA,Reserves Development,Inactive,-24.327710,28.972670,Exact
26591,Oro Monte,Gold,Precious Metals,NA,NA,Target Outline,Inactive,37.829600,-117.791270,Approximate
26592,Monte Cristo,Gold,Precious Metals,Hecla Mining Company (Owner) 100%,Unnamed Owner (NSR),Reserves Development,Active,38.184290,-117.707940,Exact
26593,Siberia,Gold,Precious Metals,NA,NA,Target Outline,Inactive,38.066670,-120.766670,Approximate
26594,Harrison Lake West,Gold,Precious Metals,Rhyolite Resources Limited (Owner) 100%,NA,Target Outline,Inactive,49.651110,-121.988330,Exact
26595,Mt Magnet,Gold,Precious Metals,Ramelius Resources Limited (Owner) 100%,NA,Operating,Active,-28.034170,117.795560,Exact
26596,Gold Hill Tailings,Gold,Precious Metals,LTEC Environmental Colorado (Owner) 100%,NA,Operating,Inactive,38.855560,-104.806550,Approximate
26597,Mt Pleasant,Gold,Precious Metals,Zijin Mining Group Company Limited (Owner) 100%,Franco-Nevada Corporation (NPI) 3%,Satellite,Active,-30.555560,121.240000,Exact
26598,Mt Carrington,Gold,Precious Metals,White Rock Minerals Limited (Owner) 100%,NA,Feasibility Started,Active,-28.915560,152.366110,Exact
26599,Lucky Break,Gold,Precious Metals,NA,NA,Closed,Inactive,-22.650000,147.583060,Exact
26600,Tanami,Gold,Precious Metals,Newmont Mining Corporation (Owner) 100%,NA,Closed,Inactive,-19.976940,129.713890,Exact
26601,Macraes Flat,Gold,Precious Metals,OceanaGold Corporation (Owner) 100%,Local Interest (Royalty),Operating,Active,-45.375480,170.454480,Exact
26602,Imperial,Gold,Precious Metals,Goldcorp Incorporated (Owner) 100%,Barrick Gold Corporation (NSR) 1.5%,Feasibility,Active,32.983330,-114.783330,Exact
26603,Bendigo,Gold,Precious Metals,GBM Gold Limited (Owner) 100%,NA,Exploration,Active,-36.795830,144.261940,Exact
26604,Gold King,Gold,Precious Metals,San Juan Corp (Owner) 100%,NA,Reserves Development,Under Litigation,37.890320,-107.649940,Exact
26605,Swede Creek,Gold,Precious Metals,Grandex Resources Ltd (Owner) 100%,NA,NA,Inactive,63.968060,-135.993610,Exact
