KeyMineProject,Property Name,Primary Commodity,Commodity Group,List of Owners,List of Royalty Holders,Development Stage,Activity Status,Latitude (degrees),Longitude (degrees),Coordinate Accuracy
67718,Laitita,Gold,Precious Metals,Norsemont Metals Ltd. (Owner) 100%; 0981628 B.C. Ltd. (Venture),NA,Grassroots,Inactive,-14.800000,-74.900000,Approximate
67719,Mufindi,Gold,Precious Metals,Tanzania Minerals Corporation (Owner) 100%,NA,Grassroots,Inactive,-8.282000,34.943000,Exact
67720,Ox Mountain,Gold,Precious Metals,Playfair Mining Ltd. (Optionee) 100%; Unnamed Owner (Optionor),NA,Grassroots,Inactive,54.138000,-8.754000,Exact
67726,Karita,Gold,Precious Metals,Merrex Gold Incorporated (Owner) 100%,NA,Exploration,Active,12.389000,-11.465000,Exact
67736,Bodite,Gold,Precious Metals,Unnamed Owner (Owner) 100%,NA,Grassroots,Active,6.454000,-3.629000,Exact
67737,Aboisso,Gold,Precious Metals,Unnamed Owner (Owner) 100%,NA,Exploration,Active,5.960000,-3.115000,Exact
67747,Cue,Gold,Precious Metals,Unnamed Owner (Owner) 100%,NA,Exploration,Active,-27.240000,117.660000,Exact
67748,Comodin,Gold,Precious Metals,NA,NA,Exploration,Inactive,29.697000,-110.252000,Approximate
67750,Elena I,Gold,Precious Metals,NA,NA,Exploration,Inactive,29.697000,-110.217000,Approximate
67751,Elena II,Gold,Precious Metals,NA,NA,Exploration,Inactive,29.697000,-110.196000,Approximate
67752,SLAM,Gold,Precious Metals,Kodal Minerals Plc (Optionee) 100%; Newmont Mining Corporation (Optionor),NA,Exploration,Active,12.100000,-8.847000,Exact
67753,Chibougamau,Gold,Precious Metals,Mazorro Resources Inc. (Optionee) 100%; Genius Properties Ltd. (Optionor),Quebec Co. (NSR) 1%,Grassroots,Inactive,49.504590,-74.862310,Exact
67759,Bohemia,Gold,Precious Metals,Riverside Resources Inc. (Optionee) 100%; Argonaut Gold Inc. (Optionor); Hochschild Mining Plc (Optionee),NA,Grassroots,Inactive,31.430000,-112.830000,Approximate
67761,Colombia,Gold,Precious Metals,1711935 Alberta Inc. (Optionee) 80%; Unnamed Owner (Optionor) 20%,NA,Grassroots,Inactive,4.589540,-74.294570,Best Guess
