MineID	MineName	Owners	Development Stage	Activity Status	Lat	Lon
24761	Sunday Hill	NA	NA	Inactive	44.431390	-117.597220
24763	Camp Carson	Merlin Mining NL (Owner); Quad Metals Corp (Owner)	NA	Inactive	45.034580	-118.291340
24765	Belk	Firebird Resources Inc. (Optionee) 100%; Pageland Minerals Limited (Optionor)	Reserves Development	Active	34.668060	-80.419440
24766	Gold Hill Mine	Mary Nisbet (Owner); Nicor Inc. (Owner)	Exploration	Inactive	34.906180	-80.846200
24767	Homestake	Barrick Gold Corporation (Owner) 100%	Closed	Inactive	44.351670	-103.750000
24768	Golden Reward	NA	Closed	Inactive	44.334170	-103.803890
24779	Tug	Fronteer Gold Inc. (Owner) 100%	Target Outline	Inactive	41.246670	-114.034440
24781	Gold Springs	TriMetals Mining Inc. (Owner) 100%	Prefeas/Scoping	Active	37.924790	-114.072730
24785	South Mercur	Rochester Minerals Inc (Owner) 100%	Target Outline	Inactive	40.277780	-112.190830
24787	London-Virginia	NA	Target Outline	Inactive	37.551390	-78.464440
24788	Hughes	NA	Exploration	Inactive	37.787550	-78.286940
24791	Bodie	NA	Exploration	Inactive	48.816740	-118.897250
24792	Republic Unit	NA	Closed	Inactive	48.672620	-118.759470
24793	Vulcan Mountain	Globex Mining Enterprises Inc. (Owner) 100%	Target Outline	Inactive	48.980560	-118.550000
24796	Minnie	Carson Oil And Exploration Inc (Venturer) 50%; Cordilleran Development Inc (Venturer) 50%	Reserves Development	Inactive	48.264000	-120.055890
24798	Alder	Unnamed Owner (Owner) 100%	Exploration	Inactive	48.321670	-120.157780
24802	Big Iron	NA	Exploration	Inactive	48.947070	-118.058620
24807	Excelsior	Unnamed Owner (Owner) 100%	Reserves Development	Inactive	48.898610	-121.806110
24808	Minnesota	NA	Exploration	Inactive	48.731220	-120.842310
24813	Mary Ellen Dump	Gyorvary Mining Co (Owner) 100%	NA	Inactive	42.487780	-108.744720
24814	Copper King	United States Gold Corporation (Owner) 100%	Reserves Development	Active	41.141670	-105.183890
24822	Gold Quarry	Newmont Mining Corporation (Owner) 100%	Satellite	Active	40.791670	-116.208330
24823	McLaughlin	Barrick Gold Corporation (Owner) 100%	Closed	Inactive	38.856670	-122.401390
24825	San Luis	Newmont Mining Corporation (Owner) 100%	Closed	Inactive	37.255000	-105.315830
24826	Motherlode Prospect	Normac Explorations Inc (Venturer) 50%; Remington Resources Inc. (Venturer) 50%	Reserves Development	Inactive	39.960280	-114.877780
24831	Amazon Property	NA	NA	Inactive	40.880280	-107.524440
