MineID	MineName	Development Stage	Activity Status	Lat	Lon
24715	Florida Canyon	Operating	Active	40.579170	-118.238330
24717	Auburn	Target Outline	Inactive	40.765830	-117.869170
24718	Barrel Springs	Exploration	Inactive	40.811390	-118.707220
24720	Rosebud	Reserves Development	Active	40.812500	-118.661670
24721	Gooseberry	Closed	Inactive	39.484170	-119.464440
24722	New York	NA	Inactive	39.263800	-119.655200
24725	Monte Cristo	Target Outline	Inactive	39.246940	-115.564720
24729	Buck Mountain	NA	Inactive	39.747720	-115.524490
24736	Bonito	Reserves Development	Inactive	33.460560	-105.802780
24738	Vera Cruz	Target Outline	Inactive	33.605560	-105.701670
24740	Victorio	Exploration	Inactive	32.182030	-108.083910
24742	El Oro	Closed	Inactive	32.966810	-107.480900
24744	Silver Hill	Exploration	Inactive	35.705830	-80.200560
24745	Russell-Coggins	Reserves Development	Inactive	35.486940	-80.019720
24746	Howie	Target Outline	Inactive	34.957780	-80.715280
24748	Bald Mountain/Ibex	Feasibility	Inactive	44.733330	-118.366670
24749	Record	Exploration	Inactive	44.377220	-118.241670
24750	Dolly Varden	Exploration	Inactive	44.767500	-117.370000
24751	Pine Creek	Closed	Inactive	44.977780	-117.193890
24752	Iron Dyke	Exploration	Inactive	45.027050	-116.858170
24754	Dixie Meadow	Reserves Development	Inactive	44.601390	-118.695000
24755	Idol City	Target Outline	Inactive	43.778060	-118.892500
24756	Warner	Exploration	Inactive	42.737500	-123.169440
24757	Goff	Exploration	Inactive	42.680280	-123.559720
24758	Ida	Target Outline	Inactive	42.495600	-123.253350
24759	Greenback	Exploration	Inactive	42.653330	-123.305830
24761	Sunday Hill	NA	Inactive	44.431390	-117.597220
24763	Camp Carson	NA	Inactive	45.034580	-118.291340
24765	Belk	Reserves Development	Active	34.668060	-80.419440
24766	Gold Hill Mine	Exploration	Inactive	34.906180	-80.846200
24767	Homestake	Closed	Inactive	44.351670	-103.750000
24768	Golden Reward	Closed	Inactive	44.334170	-103.803890
24779	Tug	Target Outline	Inactive	41.246670	-114.034440
24781	Gold Springs	Prefeas/Scoping	Active	37.924790	-114.072730
24785	South Mercur	Target Outline	Inactive	40.277780	-112.190830
24787	London-Virginia	Target Outline	Inactive	37.551390	-78.464440
24788	Hughes	Exploration	Inactive	37.787550	-78.286940
24791	Bodie	Exploration	Inactive	48.816740	-118.897250
24792	Republic Unit	Closed	Inactive	48.672620	-118.759470
24793	Vulcan Mountain	Target Outline	Inactive	48.980560	-118.550000
24796	Minnie	Reserves Development	Inactive	48.264000	-120.055890
24798	Alder	Exploration	Inactive	48.321670	-120.157780
24802	Big Iron	Exploration	Inactive	48.947070	-118.058620
24807	Excelsior	Reserves Development	Inactive	48.898610	-121.806110
24808	Minnesota	Exploration	Inactive	48.731220	-120.842310
24813	Mary Ellen Dump	NA	Inactive	42.487780	-108.744720
24814	Copper King	Reserves Development	Active	41.141670	-105.183890
24822	Gold Quarry	Satellite	Active	40.791670	-116.208330
24823	McLaughlin	Closed	Inactive	38.856670	-122.401390
24825	San Luis	Closed	Inactive	37.255000	-105.315830
24826	Motherlode Prospect	Reserves Development	Inactive	39.960280	-114.877780
24831	Amazon Property	NA	Inactive	40.880280	-107.524440
24837	Grouse Creek	Closed	Inactive	44.433060	-114.750000
24844	Camp Bird	Closed	Inactive	37.970000	-107.725280
24846	Summitville	Closed	Inactive	37.410000	-106.560000
24848	Leach Claims	Reserves Development	Inactive	34.471390	-113.151390
24850	Alaska Offshore Gold Placer Permits	Exploration	Inactive	64.611390	-163.250460
24852	Carter Mine	Reserves Development	Inactive	38.600000	-106.600000
24855	Illinois Creek	Reserves Development	Active	64.040000	-157.910000
24858	Snowshoe Mine	Exploration	Inactive	48.204720	-115.645280
24859	Eldorado Canyon	Target Outline	Inactive	35.708060	-114.856670
24862	Bald Mountain	Reserves Development	Active	46.733060	-68.725000
24865	Paymaster Shaft	Closed	Inactive	48.444070	-81.260730
24867	Turquoise Ridge	Operating	Active	41.215900	-117.242860
24875	Turner-Albright	Reserves Development	Active	42.004170	-123.756940
24878	Emigrant Springs	Satellite	Active	40.613050	-115.972070
24879	Santa Fe	Reserves Development	Active	38.594170	-118.142500
24882	Keyrok	Target Outline	Inactive	42.983330	-117.016670
24886	Cyanide Gulch	Target Outline	Inactive	45.550000	-113.916670
24888	Stibnite	Closed	Inactive	44.909170	-115.330830
24889	Chandalar	Limited Production	Active	67.550250	-148.179580
24890	Napias Creek	Feasibility	Inactive	45.300000	-114.066390
24892	Unga	Reserves Development	Active	55.226110	-160.573890
24893	Easy Ridge Property	Exploration	Inactive	39.158040	-115.669130
24895	Mayflower	Target Outline	Inactive	40.616340	-111.441380
24896	Silver Cross	Closed	Inactive	33.922780	-111.953610
24899	Goldfield	Feasibility	Inactive	37.738650	-117.231020
24906	Ropes	Exploration	Inactive	46.530830	-87.714170
24907	Meadow Lake	Target Outline	Inactive	39.428330	-120.550000
24911	United Verde Extension	Closed	Inactive	34.753770	-112.112910
24917	Tybo	Reserves Development	Inactive	38.368610	-116.402220
24920	Cracker Creek	Target Outline	Inactive	44.781670	-118.242760
24928	Comstock	Expansion	Active	39.276330	-119.663900
24930	Gold King Extension	Target Outline	Inactive	37.890830	-107.648330
24931	Big Horn	Reserves Development	Inactive	34.355560	-117.743060
24932	Aurora	Closed	Inactive	38.286390	-118.900830
24933	Como Placer	NA	Inactive	39.221110	-105.090000
24934	Questa Blanca	Target Outline	Inactive	33.400000	-107.383330
24935	Trail Creek	Exploration	Inactive	39.732490	-105.614480
24936	Goldfield	Closed	Inactive	37.719740	-117.223280
24938	Specimen	Exploration	Inactive	44.104720	-115.546670
24939	Siskon	Target Outline	Inactive	41.578430	-123.642840
24944	Northumberland Mine	Reserves Development	Inactive	38.969170	-116.879720
24950	London	Feasibility	Inactive	39.273060	-106.146390
24952	Cornucopia	Exploration	Inactive	45.012660	-117.209620
24953	Trixie	Reserves Development	Active	40.003060	-112.067220
24954	Oatman	Target Outline	Inactive	34.892220	-114.363120
24958	Golden Wonder	Target Outline	Active	38.004170	-107.280000
24962	Montana Tunnels	Operating	Care And Maintenance	46.371670	-112.133300
24964	Ophir	Exploration	Inactive	38.722620	-105.152670
24965	Mountain Chief Mine	Target Outline	Inactive	45.216670	-111.966670
24966	Bronco Verdstone Oakland	Reserves Development	Inactive	33.352500	-113.686390
24967	Wharf	Operating	Active	44.356670	-103.836390
24968	McCabe	Closed	Inactive	34.477220	-112.291670
24969	Red Chief Mine	Target Outline	Inactive	45.483060	-112.233330
24970	Santa Maria	NA	Inactive	40.504440	-118.740830
24971	Golden Eagle	Closed	Inactive	39.321390	-119.593610
24972	Tenabo	Closed	Inactive	40.311940	-116.693890
24973	Bell Mountain	Reserves Development	Active	39.181940	-118.126940
24974	Golden Quail	Reserves Development	Inactive	35.213890	-115.305000
24976	Hirst-Chichagof	Reserves Development	Inactive	57.684770	-136.103780
24978	Blackhawk	NA	Inactive	34.614170	-117.153020
24980	Mizpah	Exploration	Inactive	38.071390	-117.212500
24987	Mercur	Closed	Inactive	40.417780	-112.389700
24990	Mary Nevin	Closed	Inactive	38.718820	-105.174390
24992	Nevada Coalition	Exploration	Inactive	38.549090	-117.110680
24995	Masonic	Target Outline	Inactive	38.110060	-119.835730
24998	Royal Mountain King	Closed	Inactive	37.993890	-120.680280
24999	Borealis	Operating	Active	38.381940	-118.759440
25000	Mount Gaines	Exploration	Inactive	37.540440	-120.176760
25001	Manhattan	Exploration	Inactive	38.531390	-117.055280
25003	Eagle River	Exploration	Inactive	58.571110	-134.772220
25007	Slyter	Exploration	Inactive	44.250910	-116.969400
25008	Haile	Operating	Active	34.581530	-80.540720
25018	Center Star	Reserves Development	Inactive	45.807670	-115.559580
25019	Bully Hill	Target Outline	Inactive	40.583330	-122.383330
25020	Henrietta	Target Outline	Inactive	37.887500	-107.674720
25022	Golden Sunlight	Operating	Active	45.905780	-112.021610
25023	Mineral Hill	Closed	Inactive	45.070560	-110.624720
25026	Rincon Mine	Target Outline	Inactive	34.175050	-112.750750
25027	Golden Dream	Reserves Development	Inactive	47.694690	-115.776010
25029	Laguna Placers	Exploration	Inactive	32.813960	-114.487680
25035	Goldstripe	Closed	Inactive	40.150000	-121.028330
25039	Orogrande	Reserves Development	Inactive	32.398260	-106.107000
25041	Fair Chance	Exploration	Inactive	38.725560	-105.143060
25042	Mormon Basin Property	Exploration	Inactive	44.423060	-117.588890
25043	Moulas Mine	Exploration	Inactive	37.543890	-118.301390
25044	G.E. Group	Exploration	Inactive	39.709170	-113.103330
25047	San Lazarus	Reserves Development	Inactive	35.464040	-106.426500
25050	Red Hill Mining Claims	Exploration	Inactive	40.063460	-116.355070
25052	Zaca	Reserves Development	Inactive	38.665560	-119.706390
25054	Brick	Target Outline	Inactive	31.461390	-111.251110
25056	Gray Eagle	Exploration	Inactive	45.550000	-112.112220
25059	Willow Creek	Prefeas/Scoping	Active	61.783695	-149.349199
25060	Gold Pass	Exploration	Inactive	42.326390	-122.875560
25065	Platoro	Reserves Development	Inactive	37.347090	-106.534300
25067	Cook Inlet Prospect	Exploration	Inactive	60.851420	-151.299230
25068	Fairmont	Exploration	Inactive	39.776750	-105.530170
25069	East Red	Exploration	Inactive	39.024440	-106.587500
25070	Ruby Hill	Feasibility	Inactive	39.504830	-115.986180
25071	Alder Creek	Exploration	Inactive	44.013180	-115.965160
25072	Hillside Property	Exploration	Inactive	44.106390	-115.562780
25076	Last Flat Mine	Exploration	Inactive	42.469720	-123.516670
25077	Flagstaff	Exploration	Inactive	55.535560	-132.657780
25078	Phoenix	Satellite	Active	40.539170	-117.121670
25082	Maple Grove Mine	Exploration	Inactive	39.479720	-120.825560
25083	Wind River	Reserves Development	Inactive	45.898060	-121.955830
25086	Rich Gulch	Feasibility	Inactive	39.926670	-121.336110
25091	San Juan	Closed	Inactive	39.362360	-120.993520
25092	Yuba Placer	Closed	Inactive	39.191390	-121.429720
25093	Adelaide	Target Outline	Active	40.810830	-117.526390
25095	Ester Dome	Reserves Development	Inactive	64.879704	-147.952723
25097	Big Atlantic Gulch Gold Placer Claims	Target Outline	Inactive	42.450000	-108.750000
25098	Arabian	Exploration	Inactive	35.188330	-114.432780
25099	Sunnyside	Closed	Inactive	40.033330	-121.066670
25100	May	Target Outline	Inactive	42.483330	-108.750000
25101	Bruner	Prefeas/Scoping	Active	39.065280	-117.766940
25102	Irish	Target Outline	Inactive	42.483330	-108.750000
25104	Vulture	Exploration	Inactive	33.820560	-112.838890
25105	New Idria	Exploration	Inactive	36.392410	-120.658720
25106	Maggie Creek Ranch	Target Outline	Inactive	40.892780	-116.015000
25109	Mohave Tract	Exploration	Inactive	34.958890	-114.393330
25110	High Grade	Target Outline	Inactive	41.970960	-120.195250
25111	Sliderock	Target Outline	Inactive	46.450000	-113.483330
25112	Spruce Mountain	Exploration	Inactive	40.553330	-114.821390
25113	Ken Snyder	Satellite	Active	41.235000	-116.765000
25114	Jamestown	Closed	Inactive	37.945560	-120.436670
25116	Rex Montis	Exploration	Inactive	36.796500	-118.340770
25117	Hidden Hand/Baggs Creek	Target Outline	Inactive	46.388780	-112.582290
25118	W.P. Claims	Target Outline	Inactive	39.813060	-115.496390
25119	Bullion	Exploration	Inactive	41.833330	-115.383330
25120	Blackstone	Reserves Development	Inactive	43.200000	-115.266670
25124	W and K Claims	Exploration	Inactive	39.356390	-117.144170
25126	Drum	Exploration	Inactive	39.526670	-113.009720
25127	South Pass-Lewiston	Exploration	Inactive	42.536110	-108.687220
25129	Oscar	Exploration	Inactive	40.787220	-118.686110
25130	Crystal Hill Mine	Closed	Inactive	37.843330	-106.284170
25133	Goldspar	Target Outline	Inactive	36.835280	-116.636110
25135	Cathedral Well	Reserves Development	Active	39.141390	-115.553610
25136	Wall Street Tailings	Feasibility	Inactive	35.707780	-114.844440
25138	Buckskin	Exploration	Inactive	38.992500	-119.351110
25140	Independence	Exploration	Inactive	41.325240	-116.070570
25141	Golden Butte	Target Outline	Inactive	39.987500	-115.025440
25143	Keddie Ridge	Exploration	Inactive	40.212470	-120.945060
25146	Mtn/JB Claims	Exploration	Inactive	38.863060	-117.525280
25147	Jasper	Exploration	Inactive	39.243330	-115.574720
25148	Royal Vindicator	Feasibility	Inactive	33.698720	-85.263010
25149	Thunder Mountain/Dewey	Feasibility	Inactive	44.955560	-115.133610
25155	Telegraph	Reserves Development	Inactive	35.383740	-115.834820
25156	Humboldt	Target Outline	Inactive	38.285280	-118.881390
25158	Cortez	Operating	Active	40.169730	-116.607540
25160	Elkhorn	Reserves Development	Inactive	46.279980	-111.916670
25161	Tonopah Divide	Target Outline	Inactive	37.995000	-117.238060
25162	Buckhorn	Closed	Inactive	40.150000	-116.466670
25163	South Arturo	Operating	Active	41.033060	-116.426670
25164	Newpass	Exploration	Inactive	39.605230	-117.477150
25165	Bare Mountain Regional	Exploration	Inactive	36.842500	-116.674170
25166	Mindora	Reserves Development	Inactive	38.500000	-118.266670
25167	Gwen	NA	Inactive	36.947150	-118.167630
25168	Swales Mountain	Exploration	Active	40.892780	-116.015000
25171	Poker Flats	Exploration	Active	40.541670	-115.975000
25172	Gold Bar	Target Outline	Inactive	34.083610	-112.569440
25174	Butte Gulch Placer	Closed	Inactive	47.633330	-115.850560
25175	Dos Cabezas	Reserves Development	Inactive	32.193610	-109.577500
25176	Rock Creek	Exploration	Inactive	47.466110	-115.856110
25177	Morning Glory	Target Outline	Inactive	48.818860	-116.000010
25178	Palida Property	Exploration	Inactive	37.383060	-117.466670
25182	Fire Creek	Operating	Active	40.464320	-116.651070
25191	H.Y.	Exploration	Inactive	38.633330	-118.183330
25192	Nabesna	Exploration	Inactive	62.374720	-143.015000
25194	Fort Peck Dam	NA	Inactive	48.012280	-106.419320
25196	Mammoth-Goodwin	Exploration	Inactive	47.145830	-109.210830
25197	Primrose	Target Outline	Inactive	39.604440	-120.697780
25199	Clementine	Reserves Development	Inactive	33.789170	-112.363890
25200	Front Range	Limited Production	Active	40.061670	-105.401110
25202	Ryan Lode	Target Outline	Inactive	64.863060	-147.990000
25204	Buffalo Mountain	Target Outline	Inactive	40.787220	-117.264720
25205	Lovitt	Reserves Development	Active	47.382220	-120.316670
25210	Hawkeye	Exploration	Inactive	48.737220	-118.555280
25212	Colombo	Target Outline	Inactive	39.579440	-120.676110
25217	Alder	Exploration	Inactive	48.878060	-121.986110
25219	Jessie-Union	Exploration	Inactive	34.474720	-112.308610
25220	Mesquite	Operating	Active	33.052000	-114.973000
25222	Smart Creek	Exploration	Inactive	46.484720	-113.329170
25223	Wild Horse	Exploration	Inactive	40.056110	-118.762220
25224	Camp Hale	Target Outline	Inactive	39.450000	-106.300000
25227	Glory Hole	Target Outline	Inactive	39.833330	-105.500000
25228	Mystic	Closed	Inactive	33.784440	-112.319720
25229	Emma	Target Outline	Inactive	37.760000	-108.090000
25231	Freeland Group	NA	Inactive	39.762500	-105.590560
25234	Golden Zone	Reserves Development	Active	63.213890	-149.646940
25235	Chichagof	Reserves Development	Inactive	57.663610	-136.099220
25237	Gladiator	Target Outline	Inactive	34.233060	-112.332500
25239	Eagle Creek	Exploration	Inactive	64.993890	-147.738890
25241	Golden Messenger	Target Outline	Inactive	46.741670	-111.741670
25244	Ashby	Reserves Development	Active	38.440280	-118.405560
25250	Tonkin Springs	Reserves Development	Active	39.899170	-116.426940
25251	Relief Canyon	Prefeas/Scoping	Active	40.204790	-118.172100
25252	Joker Group	Target Outline	Inactive	40.816670	-107.933330
25253	Nine Mile Placer Mine	Closed	Inactive	47.234580	-114.698180
25254	Tunnel Creek	Exploration	Inactive	38.294860	-106.215830
25255	Ohio Valley	Exploration	Inactive	40.145560	-121.136390
25256	North Bullfrog	Prefeas/Scoping	Active	37.013580	-116.788670
25257	Crystal Hill	Exploration	Inactive	39.366940	-120.911390
25258	Dewey	Reserves Development	Inactive	44.958520	-115.145170
25260	Jarbridge	Target Outline	Inactive	41.866670	-115.433330
25261	Lava Cap	Exploration	Inactive	39.227780	-120.970000
25262	Kramer Hills	Closed	Inactive	34.900000	-117.537500
25265	Pilot	Exploration	Inactive	38.585560	-118.123890
25267	Short Shift	Exploration	Inactive	45.686390	-112.506110
25268	Nez Perce	Exploration	Inactive	45.564170	-113.853330
25270	Grey Eagle	Reserves Development	Inactive	44.777470	-117.724430
25272	Columbia	Exploration	Active	41.522500	-118.815000
25274	Hurd Lease	Exploration	Inactive	47.384170	-120.318890
25275	Horse Lake	Exploration	Inactive	47.415560	-120.429440
25278	Goldstrike	Target Outline	Active	37.386900	-113.878950
25279	Beal Mountain	Closed	Inactive	45.954170	-112.882220
25280	Dixie	Exploration	Inactive	40.029540	-121.123250
25282	Oatman District	Feasibility	Inactive	35.050000	-114.416670
25283	Big Springs	Prefeas/Scoping	Active	41.568000	-115.961790
25284	Neal	Target Outline	Active	43.466380	-116.001510
25285	Golden Anchor	Exploration	Inactive	45.390560	-115.860830
25286	South Penn	Reserves Development	Inactive	48.689170	-118.758330
25287	Kimberly	Target Outline	Inactive	45.403060	-115.868330
25288	Creede	Target Outline	Inactive	37.876670	-106.905000
25289	Keg Mountain	Target Outline	Inactive	40.200000	-112.566670
25290	Argus	Reserves Development	Inactive	36.201670	-117.416110
25294	Golden Horn	Exploration	Inactive	62.450000	-157.930000
25295	47 Creek	Exploration	Inactive	61.047780	-158.159720
25300	Nixon Fork	Operating	Care And Maintenance	63.238370	-154.766840
