Row Labels,Month,Day,Payloads,Paytons,CycleTime_Sum_Minutes,Traveling_Sum_Minutes,Waiting_Sum_Minutes,Spotting_Sum_Minutes,Loading_Sum_Minutes,Hauling_Sum_Minutes,Queued_Sum_Minutes,Backing_Sum_Minutes,Tipping_Sum_Minutes
403,2,15,2,353.2999878,64.78333333,26.5,1.933333333,0.7,4.683333333,29.06666667,0.433333333,0.366666667,1.1
403,2,15,7,1269.300018,298.2666667,125.8,40.01666667,3.266666667,15.4,105.5833333,0.85,3.65,3.7
403,2,15,1,171,40.33333333,26.1,0.85,0.366666667,2.666666667,8.883333333,0.1,0.383333333,0.983333333
403,2,15,1,190.6000061,64.63333333,42.55,0,0.416666667,4.1,16.4,0.083333333,0.366666667,0.716666667
403,2,15,13,2364.100006,635.9,144.2333333,82.58333333,5.566666667,30.58333333,358.1833333,1.4,5.9,7.45
403,2,16,11,1846.5,319.8,136.1833333,15.61666667,1.9,17.43333333,136.7333333,2.816666667,4.2,4.916666667
403,2,16,1,178.1999969,25.48333333,12.06666667,0,0.266666667,3.316666667,9.033333333,0.066666667,0.3,0.433333333
403,2,16,6,1100.399963,285.0333333,134,16.81666667,3.45,16.91666667,107.1166667,1.066666667,1.466666667,4.2
403,2,16,1,201.5,37.58333333,17.21666667,0.333333333,0.3,2.966666667,14.61666667,0.083333333,1,1.066666667
403,2,16,1,180,13.8,7.633333333,0.066666667,0.233333333,2.583333333,2.1,0.516666667,0,0.666666667
403,2,16,1,191,50.33333333,25.73333333,4.466666667,0.9,9.033333333,8.583333333,0.65,0,0.966666667
403,2,16,10,1892.800003,456.2833333,102.4666667,12.41666667,1.583333333,22.75,301.1333333,5.516666667,3.4,7.016666667
403,2,17,1,188,23.75,6.933333333,2.733333333,0.316666667,2.483333333,10.76666667,0,0,0.516666667
403,2,17,6,1115.799988,175.9833333,79.36666667,20.36666667,1.1,15.86666667,54.05,0,0.016666667,5.216666667
403,2,17,6,1102.299988,228.1,95.88333333,30.06666667,0.816666667,12.15,79.78333333,1.55,2.866666667,4.983333333
403,2,17,5,886.2000122,193.3166667,82.75,9.2,1.716666667,12.23333333,81.68333333,1.333333333,1.6,2.8
403,2,17,1,195.1000061,22.26666667,9.333333333,0.9,0.433333333,7.25,3.783333333,0,0.016666667,0.55
403,2,17,2,367.5,72.03333333,22.61666667,10.2,3.183333333,1.9,28.6,3.316666667,1.066666667,1.15
403,2,17,3,548.9000092,78.03333333,31.53333333,15.45,1.1,16.3,10.33333333,0.9,0.366666667,2.05
403,2,17,9,1690.100021,412.0833333,70.25,19.7,2.95,27.15,279.9,2.6,3.433333333,6.1
403,2,18,6,1157.600006,243.7666667,114.4666667,10.41666667,2.016666667,13.13333333,96.5,1.416666667,2.85,2.966666667
403,2,18,1,194.8000031,41.11666667,16.83333333,0.066666667,0.416666667,3.35,19.65,0.166666667,0,0.633333333
403,2,18,1,179.3000031,22.4,13.33333333,0.333333333,0.283333333,3.733333333,3.466666667,0.083333333,0.366666667,0.8
403,2,18,1,177.5,26.63333333,11.38333333,2.95,0,3.583333333,7.666666667,0.016666667,0.4,0.633333333
403,2,18,5,944.6999664,261.7,85.33333333,4.716666667,0.883333333,12.03333333,148.55,4.333333333,2.483333333,3.366666667
403,2,19,2,371.1000061,89.5,30.98333333,10.71666667,1.9,8.516666667,34.18333333,0.466666667,1,1.733333333
403,2,19,1,2,35.78333333,14.36666667,6.216666667,2.133333333,0.333333333,11.45,0.05,0.5,0.733333333
403,2,19,4,742.7999725,146.5333333,47.83333333,20.03333333,0.416666667,9.283333333,60.18333333,2.25,2.733333333,3.8
